"Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Excluded Connections","Age","Language","Placements","People Who Match","Friends of Connections","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","Ad End Date"
"773","Community about black social and racial issues! Like to subcribe!","https://www.facebook.comNVilliamsandKaIvin/","United States","Exclude people who like Williams&Kalvin","18 - 45","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices
Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),
Hispanic(US - English dominant), Hispanic(US - Bilingual: English and
Spanish) or Asian American (US)","Interests: BlackNews.com, Black (Color) or HuffPost
Black Voices
And Must Also Match: Behaviors: African American (US)","N/A","49","2","35.00 RUB","01/14/16 06:27:21 AM PST","N/A"
"1662","we are Muslims and we stand together","https://www.facebook.com/MuslimAmerica/","United States","Exclude people who like United Muslims of America","18 - 45","English (UK), Arabic or English (US)","News Feed on mobile devices","Interests: Zaid Shakir, Muslims for America or Abu Eesa
Niamatullah","N/A","0","0","None","03/10/16 05:36:14 AM PST","N/A"
"1582","We want to live in the country with no fear!","https://www.facebook.com/BlackJourney2Justice/","United States","Exclude people who like Don't Shoot","18 - 54","English (UK)or English (US)","News Feed on mobile devices","Interests: Cop Block","N/A","0","0","None","02/12/16 05:52:58 AM PST","N/A"
"1594","It's not about who is ""good"" and ""bad"" it's about what is right!","https://www.facebook.com/BlackJourney2Justice/","United States","Exclude people who like Don't Shoot","18 - 54","English (UK)or English (US)","News Feed on mobile devices","Interests: Cop Block","N/A","0","0","None","02/12/16 05:52:58 AM PST","N/A"
"187","ATTENTION, NEWYORK!
We need your support! We'll provide you with free food and coffee. Come and
bring your friends!
Join the FB event for more details:","https://www.facebook.com/blackmattersus/","United States: New York (+40 km) New York
Interests: Black Tea Patriots or BlackNews.com","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","5","0","4.30 RUB","02/18/16 05:46:32 AM PST","02/19/16 05:46:31 AM PST"
"1697","Racism is not ""Heritage and Honor'.It's time to stand up for what's right.","https://www.facebook.com/BlackIuive-1725227467722991/","United States","N/A","13 - 65+","N/A","Instagram Feed","Interests: Understanding racial segregation in the united
states","N/A","12,518","0","3,097.21 RUB","03/23/16 07:43:04 AM PDT","03/26/16 04:39:00 PM PDT"
"1297","This page is dedicated to protection against illegal immigrants!","https://www.facebook.com/Stop-Al-896610653786585/","United Kingdom, United States","Exclude people who like Stop A.1.","18 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Immigration or Conservatism","N/A","100","2","None","01/14/16 05:15:47 AM PST","N/A"
"91","We don't want to honor racism, slavery and hatred. This is what Confederate
Heritage is. Not My Heritage Rally","https://www.facebook.com/events/227388350945080/","United States: Jackson (+17 km) Mississippi","Exclude people who are going to Not My Heritage
Rally","18 - 60","English (UK)or English (US)","News Feed on mobile devices","Behaviors: African American (US)","N/A","49,978","1,499","13,661.08 RUB","03/15/16 08:02:45 AM PDT","N/A"
"914","Stop hating black people! Like to join!","https://www.facebook.com/WilliamsandKaIvin/","United States","Exclude people who like Williams&Kalvin","18 - 51","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices
Exclude: Behaviors: Hispanic(US - All), Hispanic(US - Spanish dominant),
Hispanic(US - English dominant), Hispanic(US - Bilingual: English and
Spanish) or Asian American (US)","Interests: National Museum of American History, Maya
Angelou, Mumia Abu-Jamal, The Raw Story or mother jones, Behaviors:
African American (US)","N/A","65","0","None","01/14/16 06:51:17 AM PST","N/A"
"905","There're a lot of racial discrimination going on in America these days. Can
you imagine that a group of armed men took over a federal property and have
vowed to kill if they are forced to leave there unless the government change
the law in their favor. Nonsense!
The ongoing Oregon standoff has taught us is that it's never been more
apparent that the U.S. government values white lives above all others. The
most stark example is comparing the kid-gloves treatment the white gunmen
in Oregon are getting with the 1985 bombing of the MOVE house in
Philadelphia.
#GunmeninOregon
#TheMove #1985Bombing","https://www.facebook.com/WiIIiamsandKalvin/","United States
Interests: BlackNews.com, HuffPost Politics or HuffPost Black Voices","N/A","18 - 54","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","7,452","554","1,000.00 RUB","01/21/16 03:53:21 AM PST","01/23/16 03:53:21 AM PST"
